City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Gambela,ET,75.34,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
8,Rikitea,PF,78.42,clear sky,-23.1203,-134.9692,People ThankYou
12,Puerto Cabezas,NI,84.16,few clouds,14.0351,-83.3888,Cabaña Caribe
15,Puerto Ayora,EC,76.96,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Sur,OM,85.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
26,Abu Dhabi,AE,80.71,clear sky,24.4667,54.3667,Beach Rotana
27,Sorong,ID,82.56,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
37,Morant Bay,JM,79.72,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
40,Ahuimanu,US,80.31,light rain,21.4447,-157.8378,Paradise Bay Resort
44,Vanimo,PG,80.67,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
45,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
53,Alibag,IN,82.47,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
55,Faanui,PF,81.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Nagua,DO,77.05,broken clouds,19.3832,-69.8474,Hotel Cambri
57,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
58,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Bali,ID,81.57,overcast clouds,-8.5,115.0,Pondok Pitaya
63,Pochutla,MX,86.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
68,Kudahuvadhoo,MV,83.64,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
69,Auki,SB,82.98,overcast clouds,-8.7676,160.7034,Auki Motel
70,Atuona,PF,79.74,clear sky,-9.8,-139.0333,Villa Enata
71,Hilo,US,77.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
74,Hithadhoo,MV,82.53,broken clouds,-0.6,73.0833,Scoop Guest House
77,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
88,Bengkulu,ID,76.08,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
93,Bambous Virieux,MU,77.25,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
100,Mogadishu,SO,82.45,overcast clouds,2.0371,45.3438,Hotel Juba
105,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
106,Biak,ID,77.7,broken clouds,-0.9131,122.8766,Penginapan Kim
107,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
109,Ormara,PK,80.04,clear sky,25.2088,64.6357,Kenara Colony house for Rent
112,Saint George,US,83.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
119,Tabou,CI,76.95,overcast clouds,4.423,-7.3528,hotêl doufoulougou
120,Butaritari,KI,81.77,few clouds,3.0707,172.7902,Isles Sunset Lodge
122,Kanchipuram,IN,82.49,few clouds,12.8333,79.7167,Hotel Adhi Residency
124,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
126,Male,MV,83.77,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
131,Ixtapa,MX,79.83,broken clouds,20.7,-105.2,hotel la terminal
140,Mundi,IN,84.7,clear sky,22.0667,76.5,TIWARI NIWAS
142,Dingle,PH,77.92,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
144,Matoury,GF,81.01,broken clouds,4.8483,-52.3317,Hôtel La Marmotte
149,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
152,Mahebourg,MU,77.29,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
153,Kavieng,PG,85.24,broken clouds,-2.5744,150.7967,Nusa Island Retreat
158,Palmas Bellas,PA,83.25,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
166,Trang,TH,75.15,fog,7.5,99.5,Jelly's Home
169,San Antero,CO,81.63,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
170,Touros,BR,79.88,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
176,Padang,ID,75.25,heavy intensity rain,-0.9492,100.3543,Mercure Padang
179,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
180,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
182,Bandarbeyla,SO,81.01,broken clouds,9.4942,50.8122,JABIR HOTEL
188,Morondava,MG,81.12,clear sky,-20.2833,44.2833,La Case Bambou
196,Dwarka,IN,79.32,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
199,Aden,YE,82.24,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
206,Alugan,PH,81.16,overcast clouds,12.2188,125.4808,JM Lodge
211,Cap Malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
213,Kavaratti,IN,82.74,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
215,Chabahar,IR,81.36,clear sky,25.2919,60.643,هتل گدروشیا
216,The Valley,AI,78.66,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
222,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
229,Muisne,EC,76.37,broken clouds,0.6,-80.0333,Quinta Samay
233,Canyon,US,80.47,clear sky,34.9803,-101.9188,"Holiday Inn Express & Suites Canyon, an IHG Hotel"
236,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
239,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
243,Cozumel,MX,86.07,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
247,Ewa Beach,US,80.55,broken clouds,21.3156,-158.0072,Base Lodging
248,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
254,Bandar-E Lengeh,IR,76.69,clear sky,26.5579,54.8807,کافی نت پارس
255,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
259,Bacolod,PH,79.81,broken clouds,10.6667,122.95,Planta Hotel & Residences
266,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
271,Fatehabad,IN,81.91,clear sky,29.5167,75.45,Duke Hotel & Restaurant
272,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
273,Pahrump,US,83.52,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
279,Atar,MR,86.0,overcast clouds,20.5169,-13.0499,Oumou Elghoura
286,Port Hedland,AU,84.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
290,Atambua,ID,75.94,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
292,San Patricio,US,86.72,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
298,Hatillo,PR,80.38,overcast clouds,18.4863,-66.8254,El Buen Hotel
302,Pekalongan,ID,79.41,broken clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
304,Tautira,PF,81.3,few clouds,-17.7333,-149.15,Pension Oaoa
306,Soyo,AO,78.49,overcast clouds,-6.1349,12.3689,Hotel Mpampa
307,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
311,Les Cayes,HT,77.49,overcast clouds,18.2,-73.75,Villa Orphee
314,Mubi,NG,83.79,overcast clouds,10.2676,13.2644,Hotel
320,Candelaria,PH,78.39,broken clouds,13.9311,121.4233,Casa de Provincia
321,Sao Jose Da Coroa Grande,BR,78.55,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
322,Uribia,CO,86.05,overcast clouds,11.7139,-72.266,Hotel Uribia
323,Marang,MY,78.71,broken clouds,5.2056,103.2059,DBarakah Homestay
330,Pilar,BR,78.73,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
334,Kulhudhuffushi,MV,83.61,overcast clouds,6.6221,73.07,Haajy Guest House 1
337,Bilma,NE,81.5,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
338,Morada Nova,BR,75.92,broken clouds,-5.1067,-38.3725,PIZZARIA MARIANA
345,Eydhafushi,MV,83.46,overcast clouds,5.1033,73.0708,Soneva Fushi
350,Nanakuli,US,80.55,overcast clouds,21.3906,-158.1547,Camp Pālehua
356,Vaitape,PF,81.01,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
362,Yenagoa,NG,77.85,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
367,Nhamunda,BR,75.65,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
368,Makasar,ID,77.05,few clouds,-5.14,119.4221,Aryaduta Makassar
371,San Policarpo,PH,81.7,overcast clouds,12.1791,125.5072,Agapita M. Nicart
372,Surin,TH,75.58,overcast clouds,14.8818,103.4936,One Fu Hotel
375,Hambantota,LK,79.38,overcast clouds,6.1241,81.1185,Bungalow 63
376,Tefe,BR,80.71,scattered clouds,-3.3542,-64.7114,Aracati Hotel
378,Harper,LR,77.18,overcast clouds,4.375,-7.7169,Screensaver
381,Axim,GH,79.54,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
385,Pedernales,DO,81.25,overcast clouds,18.0384,-71.744,Hotel Costa Marina
386,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
390,Ferkessedougou,CI,79.7,overcast clouds,9.6,-5.2,Hotel Chateau
394,Belmonte,BR,76.21,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
397,Noumea,NC,82.38,clear sky,-22.2763,166.4572,Hôtel Le Lagon
403,Mongo,TD,87.31,scattered clouds,12.1844,18.693,Résidences du Programme FIDA
405,Wanlaweyn,SO,81.93,overcast clouds,2.6185,44.8938,GAASHAAN HOME
411,Salinopolis,BR,78.15,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
414,Saint Pete Beach,US,82.42,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
415,Camacari,BR,78.57,light rain,-12.6975,-38.3242,Sítio Blasi
417,Jacqueville,CI,79.56,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
420,Pangkalanbuun,ID,75.13,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
428,Inirida,CO,75.2,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
429,Mahina,PF,85.77,scattered clouds,-17.5065,-149.489,Relais de la Maroto
434,Hobyo,SO,82.98,light rain,5.3505,48.5268,Iftin hotel hobyo
438,Pemangkat,ID,78.31,light rain,1.1667,108.9667,Ramah Kost KITA
441,Marsh Harbour,BS,76.62,broken clouds,26.5412,-77.0636,Abaco Beach Resort
447,Sola,VU,82.06,broken clouds,-13.8833,167.55,Leumerus Bungalows
454,Samarai,PG,82.09,moderate rain,-10.6167,150.6667,Nuli Sapi
455,Puerto Barrios,GT,86.14,scattered clouds,15.7167,-88.6,Hotel El Castillo
456,Banikoara,BJ,88.21,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
457,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
461,Mareeba,AU,77.67,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
463,Portobelo,PA,81.95,overcast clouds,9.55,-79.65,Scuba Portobelo
464,Lorengau,PG,83.08,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
467,La Asuncion,VE,80.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
469,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
471,Manokwari,ID,82.98,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
477,Kapoeta,SS,79.84,light rain,4.7717,33.5903,Eastgate Hotel
478,Tual,ID,84.4,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
481,Juarez,MX,88.99,scattered clouds,31.7333,-106.4833,Hotel Santa Fe
483,Innisfail,AU,77.58,overcast clouds,-17.5333,146.0333,Moondarra Motel
494,Srivardhan,IN,78.22,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
499,Gat,IL,88.48,few clouds,31.61,34.7642,OlusHome
503,Dosso,NE,84.16,broken clouds,13.049,3.1937,Hotel Toubal
504,Coahuayana,MX,81.21,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
506,Labuhan,ID,80.85,scattered clouds,-6.8844,112.2051,DoubleFAG
509,Eyl,SO,81.7,scattered clouds,7.9803,49.8164,Amiin Hotel
510,Sungairaya,ID,79.77,light rain,0.7,108.9,Rumah Kuku Moimoi Shelly
511,Meulaboh,ID,77.61,overcast clouds,4.1363,96.1285,Kost Pria
519,Punto Fijo,VE,80.58,overcast clouds,11.6956,-70.1996,Santa Fe Inn Hotel
521,Alyangula,AU,78.67,light rain,-13.8483,136.4192,Groote Eylandt Lodge
523,Kirakira,SB,85.19,overcast clouds,-10.4544,161.9205,SanBiz Lodge
525,Mayumba,GA,77.32,overcast clouds,-3.432,10.6554,LIKWALE LODGE
526,Souillac,MU,77.38,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
527,Kailua,US,80.58,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
528,Pandhurna,IN,84.11,clear sky,21.6,78.5167,Hotel Aditya Residency
531,Vao,NC,76.84,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
538,Manaure,CO,83.93,overcast clouds,11.7751,-72.4445,Hotel Palaaima
549,Gonaives,HT,78.64,broken clouds,19.45,-72.6833,Vertières Doux Séjour
551,Wiang Sa,TH,80.85,broken clouds,8.6359,99.3666,ชำนาญอินน์
553,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
555,Narayangarh,IN,77.77,few clouds,30.4833,77.1333,Hotel Paris
560,Isangel,VU,82.69,overcast clouds,-19.55,169.2667,Tanna Lodge
562,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
563,Santa Isabel Do Rio Negro,BR,75.45,broken clouds,-0.4139,-65.0192,Hotel GSA
564,Palauig,PH,82.98,clear sky,15.435,119.9045,Alperi Botique Resort
565,Karachi,PK,80.42,few clouds,24.9056,67.0822,Sadaat
566,Marakkanam,IN,83.62,scattered clouds,12.2,79.95,Samvasa by the Sea
567,Contamana,PE,78.22,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
570,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
574,Cockburn Town,TC,78.76,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
575,Hoi An,VN,75.16,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
578,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
583,Palu,ID,82.38,broken clouds,-0.8917,119.8707,Hotel Santika Palu
585,Pakaur,IN,77.7,clear sky,24.6333,87.85,Jannisar Ansari
590,Ontario,US,86.0,scattered clouds,34.0633,-117.6509,Capri Motel
594,Matara,LK,78.89,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
595,Trairi,BR,76.32,overcast clouds,-3.2778,-39.2689,janelas do mar
603,Iracoubo,GF,77.23,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
608,Kramat,ID,79.74,overcast clouds,-8.1311,113.4499,Padepokan HM Arum Sabil
610,Kroya,ID,80.24,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
611,Narsipatnam,IN,77.67,overcast clouds,17.6667,82.6167,Lodge Vooda Residency AC
614,Calabozo,VE,77.52,overcast clouds,8.9242,-67.4293,Hotel Giardini
618,Namatanai,PG,85.42,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
619,Caravelas,BR,77.86,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
620,Acarau,BR,78.24,overcast clouds,-2.8856,-40.12,castelo pizzaria
628,Mumford,GH,80.82,overcast clouds,5.2618,-0.759,Spanish Villa
634,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
636,Phuket,TH,79.02,few clouds,8.0,98.25,The Surin
637,Nabire,ID,80.33,broken clouds,-3.3667,135.4833,Hotel Nusantara I
639,Rock Sound,BS,75.43,overcast clouds,24.9,-76.2,Pink Corral Bay Property
648,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
652,Celestun,MX,80.42,clear sky,20.8667,-90.4,Posada Lilia
662,Buchanan,LR,78.82,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
663,Tomatlan,MX,81.01,broken clouds,19.9333,-105.25,El Salvial
667,Puerto Carreno,CO,85.98,broken clouds,6.189,-67.4859,Casa Hotel Victoria
669,Nuevo Progreso,MX,84.54,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
670,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
677,Koundara,GN,86.45,broken clouds,12.4833,-13.3,Residance B....
