City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gambela,ET,8.25,34.5833,75.34,76,92,4.54,overcast clouds
1,Upernavik,GL,72.7868,-56.1549,-2.36,85,100,13.62,overcast clouds
2,Vestmannaeyjar,IS,63.4427,-20.2734,42.64,70,23,5.99,few clouds
3,Arraial Do Cabo,BR,-22.9661,-42.0278,73.53,67,2,13.15,clear sky
4,College,US,64.8569,-147.8028,39.18,25,0,9.22,clear sky
5,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,77,40,14.12,scattered clouds
6,Ponta Delgada,PT,37.7333,-25.6667,59.72,77,20,11.5,few clouds
7,Skagen,DK,57.7209,10.5839,44.1,75,8,7.83,clear sky
8,Rikitea,PF,-23.1203,-134.9692,78.42,66,4,11.36,clear sky
9,Airai,TL,-8.9266,125.4092,64.13,82,78,1.99,broken clouds
10,Punta Arenas,CL,-53.15,-70.9167,46.51,87,75,9.22,light rain
11,Nouadhibou,MR,20.931,-17.0347,66.18,94,40,8.05,scattered clouds
12,Puerto Cabezas,NI,14.0351,-83.3888,84.16,79,20,9.22,few clouds
13,Zyryanka,RU,65.75,150.85,15.06,92,100,5.73,overcast clouds
14,Hamilton,US,39.1834,-84.5333,51.89,45,0,16.11,clear sky
15,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,74,8.86,light rain
16,Tiksi,RU,71.6872,128.8694,-1.44,99,82,3.4,broken clouds
17,Mandalgovi,MN,45.7625,106.2708,37.67,42,2,8.68,clear sky
18,Cape Town,ZA,-33.9258,18.4232,62.35,78,51,13.0,broken clouds
19,Zhigansk,RU,66.7697,123.3711,28.02,79,100,29.62,overcast clouds
20,Hobart,AU,-42.8794,147.3294,57.02,90,75,0.0,broken clouds
21,Norman Wells,CA,65.282,-126.8329,24.84,30,40,8.05,scattered clouds
22,Bethel,US,41.3712,-73.414,46.76,42,0,10.36,clear sky
23,Saskylakh,RU,71.9167,114.0833,28.09,97,100,12.5,light snow
24,Sur,OM,22.5667,59.5289,85.17,52,3,10.6,clear sky
25,Busselton,AU,-33.65,115.3333,55.29,75,46,3.09,scattered clouds
26,Abu Dhabi,AE,24.4667,54.3667,80.71,48,0,16.11,clear sky
27,Sorong,ID,-0.8833,131.25,82.56,80,49,12.17,scattered clouds
28,Lebu,CL,-37.6167,-73.65,54.64,85,100,9.08,overcast clouds
29,Kruisfontein,ZA,-34.0033,24.7314,59.88,82,25,4.9,scattered clouds
30,Erenhot,CN,43.6475,111.9767,43.11,33,0,2.13,clear sky
31,Beloeil,CA,45.5668,-73.1992,46.22,61,86,4.0,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,46.06,93,100,16.11,moderate rain
33,Cherskiy,RU,68.75,161.3,12.65,85,100,5.12,overcast clouds
