City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-04-15 03:09:49,-21.2,-175.2,84.36,84,20,12.66
1,The Valley,AI,2022-04-15 03:09:39,18.217,-63.0578,78.1,75,22,23.67
2,Lensk,RU,2022-04-15 03:10:11,60.7253,114.9278,27.54,74,100,13.29
3,Faanui,PF,2022-04-15 03:10:03,-16.4833,-151.75,82.35,71,13,16.87
4,Port Augusta,AU,2022-04-15 03:10:12,-32.5,137.7667,84.56,23,7,4.88
5,Hithadhoo,MV,2022-04-15 03:10:12,-0.6,73.0833,83.26,68,98,3.89
6,Ternate,ID,2022-04-15 03:10:13,0.8,127.4,85.5,67,60,5.1
7,Mar Del Plata,AR,2022-04-15 03:05:29,-38.0023,-57.5575,58.87,71,0,7.0
8,Boa Vista,BR,2022-04-15 03:10:14,2.8197,-60.6733,82.38,65,75,10.36
9,Moissala,TD,2022-04-15 03:09:09,8.3404,17.7663,73.09,76,73,4.61
10,Hobart,AU,2022-04-15 03:10:15,-42.8794,147.3294,66.02,63,75,14.97
11,Bredasdorp,ZA,2022-04-15 03:10:15,-34.5322,20.0403,54.27,84,48,5.48
12,Puerto Ayora,EC,2022-04-15 03:09:51,-0.7393,-90.3518,75.9,92,25,7.29
13,Rikitea,PF,2022-04-15 03:09:52,-23.1203,-134.9692,77.92,70,2,16.13
14,Hearst,CA,2022-04-15 03:10:17,49.6835,-83.6665,28.6,86,18,9.89
15,Cabo San Lucas,MX,2022-04-15 03:10:17,22.8909,-109.9124,73.71,55,40,3.44
16,Lobito,AO,2022-04-15 03:10:18,-12.3481,13.5456,76.39,90,100,4.65
17,Longyan,CN,2022-04-15 03:10:19,25.1072,117.0225,73.0,68,93,0.27
18,Altamont,US,2022-04-15 03:06:58,42.2068,-121.7372,35.44,60,0,8.05
19,Saskylakh,RU,2022-04-15 03:10:20,71.9167,114.0833,-2.43,96,100,8.46
20,Nekrasovka,RU,2022-04-15 03:10:20,48.3525,135.2325,46.42,17,0,11.18
21,Grindavik,IS,2022-04-15 03:10:22,63.8424,-22.4338,45.07,93,100,32.21
22,Porto Belo,BR,2022-04-15 03:10:22,-27.1578,-48.5531,64.35,68,7,9.57
23,Ushuaia,AR,2022-04-15 03:09:01,-54.8,-68.3,44.26,65,0,4.61
24,Avarua,CK,2022-04-15 03:10:06,-21.2078,-159.775,84.25,70,89,3.44
